Tabela,Data,Kurs,Zmiana
53/A/NBP/2023,2023-03-16,4.4248,0.5
52/A/NBP/2023,2023-03-15,4.403,0.54
51/A/NBP/2023,2023-03-14,4.3793,-0.26
50/A/NBP/2023,2023-03-13,4.3906,-0.81
49/A/NBP/2023,2023-03-10,4.4266,-0.2
48/A/NBP/2023,2023-03-09,4.4356,-0.61
47/A/NBP/2023,2023-03-08,4.4626,1.47
46/A/NBP/2023,2023-03-07,4.3981,-0.7
45/A/NBP/2023,2023-03-06,4.4289,-0.12
44/A/NBP/2023,2023-03-03,4.4341,0.77
43/A/NBP/2023,2023-03-02,4.4002,-0.21
42/A/NBP/2023,2023-03-01,4.4094,-0.86
41/A/NBP/2023,2023-02-28,4.4475,-0.5
40/A/NBP/2023,2023-02-27,4.4697,0.15
39/A/NBP/2023,2023-02-24,4.463,-0.54
38/A/NBP/2023,2023-02-23,4.4873,0.42
37/A/NBP/2023,2023-02-22,4.4687,0.37
36/A/NBP/2023,2023-02-21,4.4524,0.02
35/A/NBP/2023,2023-02-20,4.4515,-0.83
34/A/NBP/2023,2023-02-17,4.4888,0.64
33/A/NBP/2023,2023-02-16,4.4601,0.52
32/A/NBP/2023,2023-02-15,4.4372,-0.2
31/A/NBP/2023,2023-02-14,4.4463,-0.88
30/A/NBP/2023,2023-02-13,4.4856,0.65
29/A/NBP/2023,2023-02-10,4.4565,1.28
28/A/NBP/2023,2023-02-09,4.4003,-0.16
27/A/NBP/2023,2023-02-08,4.4074,-0.57
26/A/NBP/2023,2023-02-07,4.4325,1.12
25/A/NBP/2023,2023-02-06,4.3833,2.11
24/A/NBP/2023,2023-02-03,4.2928,0.29
23/A/NBP/2023,2023-02-02,4.2803,-1.04
22/A/NBP/2023,2023-02-01,4.3254,-0.52
21/A/NBP/2023,2023-01-31,4.348,0.51
20/A/NBP/2023,2023-01-30,4.3258,0.01
19/A/NBP/2023,2023-01-27,4.3252,-0.24
18/A/NBP/2023,2023-01-26,4.3354,0.21
17/A/NBP/2023,2023-01-25,4.3265,-0.18
16/A/NBP/2023,2023-01-24,4.3341,0.23
15/A/NBP/2023,2023-01-23,4.3242,-0.64
14/A/NBP/2023,2023-01-20,4.352,0.12
13/A/NBP/2023,2023-01-19,4.3469,0.34
12/A/NBP/2023,2023-01-18,4.3322,-0.18
11/A/NBP/2023,2023-01-17,4.3398,-0.09
10/A/NBP/2023,2023-01-16,4.3436,0.38
9/A/NBP/2023,2023-01-13,4.3272,-0.65
8/A/NBP/2023,2023-01-12,4.3556,-0.19
7/A/NBP/2023,2023-01-11,4.3639,-0.19
6/A/NBP/2023,2023-01-10,4.372,-0.66
5/A/NBP/2023,2023-01-09,4.401,0.09
4/A/NBP/2023,2023-01-05,4.397,-0.06
3/A/NBP/2023,2023-01-04,4.3998,-0.85
2/A/NBP/2023,2023-01-03,4.4373,1.28
1/A/NBP/2023,2023-01-02,4.3811,-0.47
252/A/NBP/2022,2022-12-30,4.4018,-0.14
251/A/NBP/2022,2022-12-29,4.4078,-0.11
250/A/NBP/2022,2022-12-28,4.4127,1.04
249/A/NBP/2022,2022-12-27,4.3671,-0.07
248/A/NBP/2022,2022-12-23,4.37,-0.06
247/A/NBP/2022,2022-12-22,4.3726,-0.5
246/A/NBP/2022,2022-12-21,4.3947,-0.12
245/A/NBP/2022,2022-12-20,4.4001,-0.34
244/A/NBP/2022,2022-12-19,4.4153,-0.17
243/A/NBP/2022,2022-12-16,4.4227,0.29
